title,company,location
각 부문별,네이버제트,성남 분당구
"Student Researcher Intern, 2022",Google,서울
2022년 메타버스 아카데미 1기 교육생,한국전파진흥협회,성남 분당구
"Software Engineering Intern, 2022",Google,대한민국
[NAVER Z] 데이터 엔지니어,네이버제트,성남 분당구
"Student Researcher Intern, 2022",구글코리아,서울 강남구
LG디스플레이,신입,경기도 파주
[TL] MMORPG 클라이언트 프로그래머 모집,엔씨소프트,성남 판교역
Python 개발자,아이비엔티,성남 분당구
각 부문별,컬리,서울 강남구
[SAPEON Korea] Deep Learning Software Engineer,에스케이텔레콤,성남 분당구
"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",가치랩스,성남 분당구
[KSTEC] 통계 및 Business Analytics 신입 및 경력사원,지식시스템,성남 분당구
"Python,R,DataAnalysis,머신러닝,빅데이터 인턴 신입/경력",파인트리파트너스 주식회사 관심기업,서울 도화동
"Software Engineering Intern, 2022",구글코리아,서울 강남구
Student Training in Engineering Program (STEP) 2022,Google,대한민국
"자율 주행, 로봇 SW 개발자",에바,성남 수정구
LG이노텍,무관,서울 마곡역
2022년 새일직업교육훈련 교육생,용산여성인력개발센터,서울 용산구
연구직,파동에너지극한제어연구단,대전 유성구
SW 분야 상시,한화시스템,성남 분당구
디지털전략본부 경력직 공개,신한금융투자,대한민국
Software Engineer - Python and K8s,Canonical - Jobs,서울
AI (인공지능) 개발자,커리어4.0,대한민국
딥러닝 AI 개발 연구원,베이리스,성남 수정구
데이터분석가 - Global Leading Consulting Firm,에스에프인촌,서울
웹개발 신입 정규직,플레이쓰리에스,성남 분당구
장애인 수시 (운용/마케팅/지원),교보악사자산운용,대한민국
Vision AI 알고리즘 및 응용서비스 개발자,에스케이텔레콤,성남 분당구
프로그래머 -java/jsp/c#/python,오아시스스토리,대전 중구
JR0186078 AI Research Engineer Intern,인텔코리아,서울
백엔드 Python 서버 개발 경력 정규직,모세피플,서울 용산구
[외국계 스타트업 미소] Business Analyst,유한회사 미소,서울
금융 Data Scientist 컨설턴트,페니로이스,서울 종로구
2022 GEDP (Global Engineering Development Program),GE Appliances,경기도 성남
Software Engineer,구글코리아,서울 강남구
2022년 충남대학교 소프트웨어연구소 AI 인공지능 교육생,충남대학교산학협력단,대전 유성구
AI/Machine Learning 컨설턴트,삼일pwc컨설팅,서울 용산구
주식회사 데이터스트림즈 기술연구소 Python/Java 개발자,데이터스트림즈,성남 분당구
인공지능(AI) 소프트웨어 개발자,우림아이씨티,성남 분당구
[NIT Service] 네이버 파이낸셜 플랫폼 운영,엔아이티서비스,성남 분당구
Corporate Application Engineer - EBS,Siemens,경기도 성남+1 지역
Quantitative Research Intern,WorldQuant,서울
Sr. Corporate Application Engineer - Calibre,Siemens,경기도 성남
Software Developer 3,Oracle,대한민국
"블록체인분석·설계, 서비스기획·운영 외 경력 정규직",SK플래닛 Tacademy,성남 분당구
"Python, 인공지능(AI) 외 신입/경력 정규직",엔쓰리엔,서울
(재)예술경영지원센터 2022년 제직원,예술경영지원센터,서울
[고용노동부 취업교육] NCS 자바·스프링·앱 실무 개발자,아이티윌 부산교육센터,부산 부산진구
2022 비플라이소프트 인재,비플라이소프트,서울 광진구
[NHN] 인사운영,NHN] [NHN,성남 판교역
LG CNS,신입,서울
[신입] Growth Data Analyst,네이버,서울
Computer Vision SW 개발자,고영테크놀러지,용인 수지구
LG전자,경력,서울 서초구
AI Software Engineer,GE Appliances,경기도 성남
3D영상/딥러닝/메타버스 소프트웨어 개발자,엠앤앤에이치,서울 성동구
딥러닝 알고리즘 및 응용 Engineer,딥엑스,성남 분당구
Student Training in Engineering Program 2022,구글코리아,서울 강남구
"플랫폼 S/W 개발자(웹 엔지니어·웹 프로그래머,Java, jsp, Python)",시대의영웅,서울 강서구
5G RAN R&D 소프트웨어 개발자 신입/경력0명 채용,Ericsson,서울
[경일게임아카데미] 자바/ 파이썬(Java/ Python) 교강사,경일게임아카데미,서울 강동구
"AI: 데이터분석 통한 예측모델링, 알고리즘, 개인화 추천 전문가 (과장/대리급), TOP금융그룹 투자",코어포인트,서울 영등포구
CalCM Product Engineer,Siemens,경기도 성남
[IT] 빅데이터 플랫폼 엔지니어,현대자동차,서울 서초구
Python Programmer,Mofac,서울 서초구
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구
Expat: Experimental Physicist Tuning and Monitoring,IMS Nanofabrication,경기도 화성
[NAVER Z] 3D 리거,네이버제트,성남 분당구
UX Researcher (정량/포트폴리오 없는 전형),비바리퍼블리카,서울 강남구
Corporate Application Engineer - EBS,Siemens Electronic Design Automation (Korea) LLC,경기도 성남
"[대기업] 딥러닝 (AI, 영상인식) 전문가 (석박사급)",비에이블컨설팅그룹,서울
AI Backend 시스템 개발 전문가,에스케이텔레콤,서울 중구
[SAPEON Korea] Deep Learning Library 개발자,에스케이텔레콤,성남 분당구
Software Architecture 설계 엔지니어,딥엑스,성남 분당구
인공지능 말동무인형 개발자 (경력),미스터마인드,성남 분당구
[IT] AI 플랫폼 엔지니어,현대자동차,서울 서초구
"S/W개발자, H/W개발자, 기구설계 전문가",뉴로직,서울 강서구
데이터 엔지니어 - Global Leading Consulting Firm,에스에프인촌,서울
기술 문서 작성 전문가,딥엑스,성남 분당구
System Engineer,비바리퍼블리카,서울 강남구
[KREAM] Server 개발자,크림,성남 분당구
Software Performance Optimization Engineer,딥엑스,성남 분당구
[CA] 웹 스크래핑 엔지니어,한국카카오은행,성남 분당구
식품그룹 빅데이터 활용 분석. AI전문가 대리과장급...,SMI,서울특별시
"영상처리, 컴퓨터 비전 전문가 (신입/경력)",에바,성남 수정구
"[리얼클래스]백엔드 개발자 (Backend Developer, Python)",퀄슨,서울 강남구
가우스랩스 Computer Vision & Image Processing Applied Scientist,가우스랩스,서울특별시
CalCM Product Engineer,Siemens Electronic Design Automation (Korea) LLC,경기도 성남
Vocational Training Program Intern (Developer/Researcher Rol...,SAP,서울
AI / Big Data 전문가 - 글로벌 전자대기업,에스에프인촌,서울
"DevOps 엔지니어 ,백엔드,서버개발 정규직, 인턴직",엘에스엠케이,서울 송파구
"PHP, Python 신입/경력 정규직",비즈부스터,서울 금천구
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구
[어니컴(주)] 데이터 분석가 신입/경력,어니컴,서울 용산구
Software Intern,Maxim Integrated,서울
"Student Training in Engineering Program (STEP) 2022, People...",Google,대한민국
"신입/경력 개발자 (프론트엔드 2명, 백엔드 2명, 퍼블리셔 2명)",아이디벨,경기도 하남
AI기반의 자산운용 핀테크 아크로스 시니어 퀀트 리서처,아크로스테크놀로지스,서울 서초구
백엔드 경력 정규직,라이트비전,서울 성동구
[HTT] 경력사원 상시 동역학,한국타이어,대전 유성구
Data Engineer (Supply Chain Optimization),머크,서울 강남구
PostgreSQL Engineer 모집,카카오,성남 판교역
Software Engineer,Google,서울
자동화장비 응용 SW개발 경력인재 - 대그룹 우량계열사,에스에프인촌,성남 분당구
"백엔드, Python 외 경력 정규직",아토머스,서울 강남구
Data Scientist,Applied Materials,대한민국
S&I Corp.,경력,대한민국
LG CNS,경력,서울
LG이노텍,경력,서울 강서구
프론트엔드 개발자/디자이너/기획/마케터 정직원,마이플래닛,성남 수정구
소프트웨어 개발자 경력직,레티널,안양 동안구
UX Researcher - NPE Korea,Facebook App,서울
[인재풀] 아티스트 ART,Electronic Arts,서울
[TmaxAI/R&D] AI & FinTech 부문 프론트엔드 개발자,티맥스소프트,성남 분당구
자산운용팀 전략/리스크팀 퀀트(겨울방학 인턴),마이퍼스트에셋자산운용,대한민국
[선행기술원] 퀀텀컴퓨팅 양자 알고리즘 개발,현대자동차,성남 분당구
[위메프오] 백엔드개발자,위메프,대한민국
"데이터베이스개발자, 웹개발 신입/경력 정규직",여의도사람들,서울 영등포구
[TmaxAI/R&D] NLP(자연어/문서/음성/감성분석)부문 개발자,티맥스소프트,성남 분당구
[신입/경력] 의료영상/음성인식/생체신호 연구원,뷰노코리아,서울 서초구
경영관리 기획 담당 모집,엔씨소프트,성남 판교역
11번가 데이터 아키텍처/데이터 엔지니어 분야,십일번가,서울 중구
Business Analyst,Riiid Labs,서울
AI기반의 자산운용 핀테크 아크로스 백엔드 주니어 개발자,아크로스테크놀로지스,서울 서초구
[KSTEC] Java 프로그래머 경력사원,지식시스템,성남 분당구
서버 개발자 Python(Django) Developer (신입/경력),아테나스랩,서울 마포구
System SW 엔지니어,딥엑스,성남 분당구
[NAVER Cloud] MLOps 서비스 개발,네이버클라우드,성남 분당구
[PPM솔루션 클로바인] 연구소 IT 테크 직군 선행연구 개발자,헤븐트리,서울 강남구
AI Agent 서비스 Data 분석 개발자,에스케이텔레콤,서울 중구
[포티투마루] 인공지능(AI) 개발자 전 부문,포티투마루,서울 서초구
SW 분야 상시 채용,한화그룹,서울
Backend 개발자,에스케이텔레콤,서울 중구
시스템엔지니어 신입/경력 정규직 [전문연구요원 지원 가능],루미르,용인 수지구
"(강남구 학동) 분야별, 백엔드 및 프론트 엔드 신입/경력 개발자",크레펀,서울 강남구
Machine Learning Engineer Intern - Korea,MOLOCO,서울
프랭클린템플턴투신운용 Junior Trader (Quant base 필수),프랭클린템플턴투신,대한민국
Python Developer (Internal Product),비바리퍼블리카,서울 강남구
디지털 미디어 매니저(퍼포먼스&브랜딩) 신입/경력,스스스스,서울 서초구
(주)풀무원 빅데이터 활용 분석/AI 전문가 채용,풀무원,서울특별시
"협동로봇, 공정엔지니어, PLC 외 신입 정규직",씨엔로봇,대전 유성구
[클라우드플랫폼실] System Engineering팀 클라우드 엔지니어,야놀자,서울 강남구
"파생평가사업본부, 금융공학연구소 안내의 건(연장)",KIS자산평가,대한민국
"웹개발, 백엔드 외 경력 정규직",아이티엔제이,울산 남구
제어S/W 전문가,고영테크놀러지,용인 수지구
빅데이터 리더 정규직,hTLM HR,안양 동안구
C++ Developer for High Performance Cloud Database,SAP,서울
하드웨어 신입/경력 정규직,대영에스텍,대전 유성구
"[신입,경력] 영상 인식 알고리즘 개발자",몹티콘,서울 구로구
Cymer Software Engineer,ASML,대한민국
[NHN SOFT] Back-End 경력 개발자,엔에이치엔소프트,성남 분당구
Data Engineer(Python Backend 경력자),드림어스컴퍼니,서울 서초구
[빅데이터플랫폼] 데이터 엔지니어,한국카카오은행,성남 분당구
"Associate Software Engineer, gReach Program for People with...",Google,서울
A.I.개발자,파이프트리스마트팜,서울 송파구
상점 계약 운영기획 담당자,메쉬코리아,서울 강남구
[TmaxEdu/R&D] 연구 개발자,티맥스소프트,성남 분당구
취업포털본부 디자인팀 경력직,인크루트,서울 중구
Software Engineer,Maxim Integrated,서울
코딩에 빠진 수퍼 개발자 (펌웨어 개발),에바,성남 수정구
[NAVER Cloud] 빅데이터 분석 플랫폼 개발,네이버클라우드,성남 분당구
IT팀 전산실 경력직,아신,용인 기흥구
전문연구요원 (병역특례) 수시 (AI / SW 분야),딥엑스,성남 분당구
EC Engineer (Replacement position),Altair Engineering,경기도 성남
[NHN 패션고 코리아] 추천 통계 분석 및 모델 연구 개발,NHN] [NHN 패션고 코리아,성남 판교역
Analog Verification Engineer,Dialog Semiconductor,대한민국
Sr. Corporate Application Engineer - Calibre,Siemens Electronic Design Automation (Korea) LLC,경기도 성남
[AI] 연구 개발,NHN] [AI,성남 판교역
"Technical Solutions Manager, gTech Customer Experience",구글코리아,서울 강남구
Explainable AI 연구 개발 신입 채용,CJ올리브네트웍스,성남 서현동
데이터 사이언티스트,Bagelcode,서울
"백엔드, 웹개발 경력 정규직 - 스타트업/워라밸/수평문화/연봉최대협의",티에스커리어,안양 동안구
Application Support Specialist - Associate (Technology),Morgan Stanley,서울
연구개발부 생명정보부문 석사졸연구원 신입/경력 정규직,카이팜,서울 서대문구
애플리케이션 개발자&컨설턴트 정규직,디지포머싸스랩,서울 강남구
[카카오커머스] 기술직군,카카오커머스,성남 분당구
2022년 상반기 정규직 (연구직),소네트,대구 달성군
PDC Process Support Engineer (POC expert) IV - (E4),Applied Materials,경기도 화성
"웹개발, 백엔드 외 신입/경력 정규직",코인챗,서울 강남구
생명정보학 부문 박사졸 선임연구원 정규직 정규직,카이팜,서울 서대문구
Field Service Engineer Korea,Nearfield Instruments,경기도 용인
[CJ Olivenetworks/경력] MLOps 플랫폼 연구/개발,씨제이올리브네트웍스,서울 용산구
시스템 운영(SE),위메이드엔터테인먼트,성남 분당구
스마트폰 어플리케이션(App) 경력 정규직,엠마헬스케어,성남 분당구
리스크관리팀 신입/경력사원,유안타증권,대한민국
[TmaxOS/R&D] OS부문 개발자,티맥스소프트,성남 분당구
[유통 대기업] Business Analyst(비지니스분석가) 과차장급,에이치알니즈,서울
Market Area Manager Renewables Korea,DNV,서울
"클라우드 엔지니어(과장/대리), 국내 TOP 제약회사 홀딩스 지주회사(분당/수지지역)",코어포인트,성남 분당구
셀프 인테리어 위한 AI 플랫폼 서비스 개발자,서르,성남 분당구
[2022 전문연구요원] AI R&D - Language AI,엔씨소프트,성남 판교역
1분기 게임 서버 개발자 (신입/경력),이스트게임즈,서울 서초구
Data Engineer 신입사원,플리토,서울 강남구
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구
[kt ds] 2022년 각 부문별 경력사원 수시,케이티디에스,서울 서초구
퀀트운용본부 운용역(경력직) (연장),비엔케이자산운용,대한민국
서버개발자(벡앤드) 정규직,오비이랩,서울 강남구
[인재 Pool / 상시 / 신입] R&D 박사,앰코테크놀로지코리아,인천 연수구
웹프로그래머 (FrontEnd) 기업부설연구소 연구원 #python #js #FullStack #모바일,넥스텝코리아,서울 용산구
[개발자] 모비데이즈 프론트엔드 개발자 경력직 채용,Mobidays,서울특별시
Cloud 기술 전문가,에스케이텔레콤,서울 중구
[외국계 스타트업 미소] Business Analyst Intern (정규직 전환형),유한회사 미소,서울
데이터표준화 부문 경력,현대오토에버,서울 강남구
[NAVER Cloud] 네이버클라우드 분산 데이터베이스 상품 개발,네이버,서울
[전과정무료/취업연계] 2022년 한국정보보호산업협회 뉴딜일자리사업 교육과정 참여자,한국정보보호산업협회,서울
Junior Structural Engineer,SYSTRA,서울
[NAVER Cloud] 빅데이터 분석 플랫폼 엔지니어,네이버클라우드,성남 분당구
Data Scientist,KLA,경기도 화성
Datacenter Engineer (chuncheon),Oracle,서울
[데이터엔지니어링팀] Data Engineer (경력 2년 이상),직방,서울 종로구
주식운용본부 리서치팀 애널리스트&펀드매니저 (Dual Function),이스트스프링자산운용,대한민국
시스템/모바일 게임 보안 담당자 (무관),네오위즈,대한민국
ASIC Design Engineer,HP,경기도
Application Engineer for MCU & Touch,Infineon Technologies,대한민국
Associate Software Engineer (Connected Cabin),BOEING,서울
JAVA 개발자 (신입/연봉 2600만),㈜휴먼엔시스,서울
"웹개발, C·C++ 외 신입/경력 정규직",엔쓰리엔,서울 강남구
2022년 상반기 신.경력직,솔루게이트,서울 금천구
[NAVER Cloud] 클라우드 데이터베이스 엔지니어 (DBA),네이버클라우드,성남 분당구
[NHN 패션고 코리아] 추천 시스템 개발,NHN] [NHN 패션고 코리아,성남 판교역
파이썬 개발자 초중급 이상,데이터앤솔루션,서울 서초구
Risk Manager (시장리스크),비바리퍼블리카,서울 강남구
1분기 웹 개발자 (신입/경력),이스트게임즈,서울 서초구
"[Robotics] Robotics Software Engineer, Navigation",네이버,서울
의료기기시스템 검증 및 신뢰성 검증 담당자(의료),고영테크놀러지,용인 수지구
"[신입,경력] 스마트 교통시스템 임베디드 소프트웨어 개발자",몹티콘,서울 구로구
[외국계 스타트업 미소] Data Analyst,유한회사 미소,서울
[전문연구요원] 의료영상 리서치 엔지니어 정규직,메디픽셀,서울 마포구
"프로그래밍, 네트워크/정보보안, IoT/사물인터넷 직업훈련교사",경북산업직업전문학교,대구 동구
Field Application Engineer Quantum Technology - South Korea...,Rohde & Schwarz,대한민국
암호화폐 퀀트 트레이더 경력직,블록워터테크놀로지스,서울 서초구
[유망기업] 데이터사이언티스트 정규직,카비,서울 금천구
Solutions Engineer,HyperScience,대한민국
빅데이터 엔지니어 신입/경력 정규직,hTLM HR,안양 동안구
Bigdata(비정형데이터) 관련 개발자,미래기술,성남 분당구
[신입] 미래 인재 DB,현대오토에버,서울
소프트웨어 및 웹 개발자,아이엠알,광주 북구
[경기지역 우수중소기업 온라인 박람회],넷믹스,성남 분당구
[NHN SOFT] Front-End 경력 개발자,엔에이치엔소프트,성남 분당구
[NAVER Cloud] 리눅스 배포판 개발,네이버클라우드,성남 분당구
FDS Modeler,비바리퍼블리카,서울 강남구
AI/Stream Analytics SW Engineer,고영테크놀러지,용인 수지구
[실내배송로봇 연구개발] - Robotics Software Engineer,로보티즈,서울 강서구
Technical Architect,현대오토에버,서울 강남구
ML Engineer,비바리퍼블리카,서울 강남구
2022년도 충청권 AI(인공지능) 교육생,청주대학교산학협력단,청주 상당구
Product Data Analyst (Mobile App),오피지지,서울 강남구
빅데이터분석 담당자 in 자원순환 모바일 앱 스타트업,그레이프 파트너즈,서울 성동구
Django 서버 개발자 - 대전연구소,알고리즘랩스,대전 유성구
